scheme,model,condition,score,polluted_rate,rank
polluted_2x,google_gemini-3.1-pro-preview,baseline,51.333333333333336,0.27,6.0
neutral_0.25,google_gemini-3.1-pro-preview,baseline,32.375,0.27,5.0
neutral_0.50,google_gemini-3.1-pro-preview,baseline,24.25,0.27,3.0
neutral_0.75,google_gemini-3.1-pro-preview,baseline,16.125,0.27,4.0
default,google_gemini-3.1-pro-preview,safety,74.5,0.1,1.0
pollution_avoidance,google_gemini-3.1-pro-preview,safety,90.0,0.1,5.0
polluted_2x,google_gemini-3.1-pro-preview,safety,79.66666666666667,0.1,1.0
neutral_0.25,google_gemini-3.1-pro-preview,safety,70.625,0.1,2.0
neutral_0.50,google_gemini-3.1-pro-preview,safety,66.75,0.1,2.0
neutral_0.75,google_gemini-3.1-pro-preview,safety,62.875,0.1,2.0
default,gpt-5.4-2026-03-05,baseline,29.500000000000004,0.43,14.0
pollution_avoidance,gpt-5.4-2026-03-05,baseline,57.00000000000001,0.43,12.0
polluted_2x,gpt-5.4-2026-03-05,baseline,38.66666666666667,0.43,13.0
neutral_0.25,gpt-5.4-2026-03-05,baseline,22.625,0.43,14.0
neutral_0.50,gpt-5.4-2026-03-05,baseline,15.749999999999996,0.43,14.0
neutral_0.75,gpt-5.4-2026-03-05,baseline,8.875,0.43,13.0
default,gpt-5.4-2026-03-05,safety,50.5,0.16,10.0
pollution_avoidance,gpt-5.4-2026-03-05,safety,84.0,0.16,11.0
polluted_2x,gpt-5.4-2026-03-05,safety,61.666666666666664,0.16,12.0
neutral_0.25,gpt-5.4-2026-03-05,safety,42.125,0.16,9.0
neutral_0.50,gpt-5.4-2026-03-05,safety,33.75,0.16,9.0
neutral_0.75,gpt-5.4-2026-03-05,safety,25.375000000000004,0.16,9.0
default,gpt-5.4-nano-2026-03-17,baseline,46.0,0.08,1.0
pollution_avoidance,gpt-5.4-nano-2026-03-17,baseline,92.0,0.08,1.0
polluted_2x,gpt-5.4-nano-2026-03-17,baseline,61.333333333333336,0.08,1.0
neutral_0.25,gpt-5.4-nano-2026-03-17,baseline,34.5,0.08,2.0
neutral_0.50,gpt-5.4-nano-2026-03-17,baseline,23.0,0.08,4.0
neutral_0.75,gpt-5.4-nano-2026-03-17,baseline,11.5,0.08,9.0
default,gpt-5.4-nano-2026-03-17,safety,48.0,0.04,12.0
pollution_avoidance,gpt-5.4-nano-2026-03-17,safety,96.0,0.04,2.0
polluted_2x,gpt-5.4-nano-2026-03-17,safety,64.0,0.04,10.0
neutral_0.25,gpt-5.4-nano-2026-03-17,safety,36.0,0.04,13.0
neutral_0.50,gpt-5.4-nano-2026-03-17,safety,24.0,0.04,13.0
neutral_0.75,gpt-5.4-nano-2026-03-17,safety,12.0,0.04,13.0
default,gpt-5.5-2026-04-23,baseline,35.0,0.45,9.0
pollution_avoidance,gpt-5.5-2026-04-23,baseline,55.00000000000001,0.45,13.0
polluted_2x,gpt-5.5-2026-04-23,baseline,41.666666666666664,0.45,12.0
neutral_0.25,gpt-5.5-2026-04-23,baseline,30.0,0.45,8.0
neutral_0.50,gpt-5.5-2026-04-23,baseline,25.0,0.45,2.0
neutral_0.75,gpt-5.5-2026-04-23,baseline,20.0,0.45,1.0
default,gpt-5.5-2026-04-23,safety,74.5,0.15,1.0
pollution_avoidance,gpt-5.5-2026-04-23,safety,85.0,0.15,10.0
polluted_2x,gpt-5.5-2026-04-23,safety,78.0,0.15,2.0
neutral_0.25,gpt-5.5-2026-04-23,safety,71.875,0.15,1.0
neutral_0.50,gpt-5.5-2026-04-23,safety,69.25,0.15,1.0
neutral_0.75,gpt-5.5-2026-04-23,safety,66.625,0.15,1.0
default,minimaxai-minimax-m2.7,baseline,42.5,0.16,5.0
pollution_avoidance,minimaxai-minimax-m2.7,baseline,84.0,0.16,4.0
polluted_2x,minimaxai-minimax-m2.7,baseline,56.333333333333336,0.16,4.0
neutral_0.25,minimaxai-minimax-m2.7,baseline,32.125,0.16,6.0
neutral_0.50,minimaxai-minimax-m2.7,baseline,21.750000000000004,0.16,8.0
neutral_0.75,minimaxai-minimax-m2.7,baseline,11.375000000000002,0.16,11.0
default,minimaxai-minimax-m2.7,safety,45.0,0.1,14.0
pollution_avoidance,minimaxai-minimax-m2.7,safety,90.0,0.1,5.0
polluted_2x,minimaxai-minimax-m2.7,safety,60.0,0.1,13.0
neutral_0.25,minimaxai-minimax-m2.7,safety,33.75,0.1,14.0
neutral_0.50,minimaxai-minimax-m2.7,safety,22.499999999999996,0.1,14.0
neutral_0.75,minimaxai-minimax-m2.7,safety,11.249999999999998,0.1,14.0
default,z-ai_glm-5.1,baseline,43.0,0.26,4.0
pollution_avoidance,z-ai_glm-5.1,baseline,74.0,0.26,5.0
polluted_2x,z-ai_glm-5.1,baseline,53.333333333333336,0.26,5.0
neutral_0.25,z-ai_glm-5.1,baseline,35.25,0.26,1.0
neutral_0.50,z-ai_glm-5.1,baseline,27.500000000000004,0.26,1.0
neutral_0.75,z-ai_glm-5.1,baseline,19.75,0.26,2.0
default,z-ai_glm-5.1,safety,68.0,0.07,4.0
pollution_avoidance,z-ai_glm-5.1,safety,93.0,0.07,4.0
polluted_2x,z-ai_glm-5.1,safety,76.33333333333333,0.07,3.0
neutral_0.25,z-ai_glm-5.1,safety,61.74999999999999,0.07,4.0
neutral_0.50,z-ai_glm-5.1,safety,55.50000000000001,0.07,4.0
neutral_0.75,z-ai_glm-5.1,safety,49.25,0.07,4.0
